City_ID,City,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Prieska,2022-08-10 04:18:23,-29.6641,22.7474,52.25,36,5,4.47,clear sky
127,Ustka,2022-08-10 04:18:23,54.5805,16.8619,56.64,83,8,2.93,clear sky
128,Sereflikochisar,2022-08-10 04:18:24,38.9393,33.5386,72.36,44,0,5.64,clear sky
129,Clyde River,2022-08-10 04:18:24,70.4692,-68.5914,39.43,75,0,11.5,clear sky
130,Bilma,2022-08-10 04:18:24,18.6853,12.9164,90.81,33,44,4.41,scattered clouds
131,Andenes,2022-08-10 04:17:15,69.3143,16.1194,53.58,87,75,17.27,light rain
132,Chenghai,2022-08-10 04:18:25,23.4632,116.768,78.71,94,75,8.95,light intensity shower rain
133,La Ronge,2022-08-10 04:15:05,55.1001,-105.2842,59.25,58,0,6.91,clear sky
134,Klyuchi,2022-08-10 04:18:25,52.2667,79.1667,67.15,71,100,5.82,light rain
135,Cabatuan,2022-08-10 04:18:26,10.8794,122.486,86.13,68,96,2.82,overcast clouds
136,Vestmannaeyjar,2022-08-10 04:18:26,63.4427,-20.2734,52.02,91,100,22.95,overcast clouds
137,Gornoye Loo,2022-08-10 04:18:26,43.7129,39.6049,73.18,60,15,3.58,few clouds
138,Havre-Saint-Pierre,2022-08-10 04:18:27,50.2334,-63.5986,51.8,87,0,4.61,clear sky
139,Beloha,2022-08-10 04:19:27,-25.1667,45.05,62.74,88,0,9.48,clear sky
140,Akom,2022-08-10 04:19:28,2.6678,12.7109,69.26,94,100,3.78,overcast clouds
141,Assai,2022-08-10 04:19:28,-23.3733,-50.8414,55.26,90,100,10.63,overcast clouds
142,Tasiilaq,2022-08-10 04:19:28,65.6145,-37.6368,39.36,91,89,5.88,overcast clouds
143,Tilichiki,2022-08-10 04:19:29,60.4667,166.1,55.56,77,100,19.62,overcast clouds
144,Upernavik,2022-08-10 04:19:29,72.7868,-56.1549,40.42,94,100,19.89,overcast clouds
145,New Norfolk,2022-08-10 04:19:30,-42.7826,147.0587,54.91,37,18,3.62,few clouds
146,Waingapu,2022-08-10 04:19:30,-9.6567,120.2641,87.1,60,90,15.41,overcast clouds
147,Koutiala,2022-08-10 04:19:30,12.3917,-5.4642,71.56,92,100,12.59,light rain
148,Lillooet,2022-08-10 04:15:05,50.6856,-121.942,79.03,40,13,2.57,few clouds
149,Petropavlovsk-Kamchatskiy,2022-08-10 04:19:31,53.0452,158.6483,55.99,100,100,11.18,light intensity shower rain
150,Fortuna,2022-08-10 04:19:31,40.5982,-124.1573,61.99,88,0,4.61,clear sky
151,Cocal,2022-08-10 04:19:32,-28.6167,-49.35,56.41,97,100,9.06,overcast clouds
152,Mae Sai,2022-08-10 04:19:32,20.4335,99.8762,84.54,68,58,2.3,broken clouds
153,Plettenberg Bay,2022-08-10 04:19:32,-34.0527,23.3716,55.78,81,84,5.32,broken clouds
154,Hithadhoo,2022-08-10 04:19:33,-0.6,73.0833,81.93,74,32,7.56,scattered clouds
155,Neyshabur,2022-08-10 04:19:33,36.2133,58.7958,75.96,26,0,0.6,clear sky
156,Sungairaya,2022-08-10 04:19:34,0.7,108.9,88.75,60,61,5.26,broken clouds
157,Port Elizabeth,2022-08-10 04:19:34,-33.918,25.5701,58.32,93,20,14.97,few clouds
158,Ilulissat,2022-08-10 04:19:35,69.2167,-51.1,41.02,87,100,6.91,overcast clouds
159,Cubuk,2022-08-10 04:19:35,40.2386,33.0322,68.77,72,0,2.3,clear sky
